DATE,OPEN,HIGH,LOW,CLOSE,VOLUME BTC,VOLUME USDT
6/13/2020,9465.13,9477.18,9362.08,9398,6841.07,64419722.31
6/12/2020,9280.4,9557.12,9232.51,9465.13,50119.07,472007894.4
6/11/2020,9885,9964,9113,9280.4,94418.98,902075648.6
6/10/2020,9772.43,9992.72,9704.18,9885,47130.76,462384305.4
6/9/2020,9782.01,9877,9570,9772.43,46024,447208895.8
6/8/2020,9746.99,9800,9633,9782.01,40664.66,395459395.8
6/7/2020,9666.3,9802,9372.46,9746.99,57952.85,556919603.8
6/6/2020,9621.16,9735,9531.05,9666.3,32752.95,315604867.2
6/5/2020,9789.06,9854.75,9581,9621.16,47788.05,465200788.2
6/4/2020,9666.24,9881.63,9450,9789.06,57456.1,557234945.7
6/3/2020,9518.04,9690,9365.21,9666.24,46252.64,441928818
6/2/2020,10200.77,10228.99,9266,9518.04,108970.77,1070060237
6/1/2020,9448.27,10380,9421.67,10200.77,76649.13,749707596.7
5/31/2020,9697.72,9700,9381.41,9448.27,48333.79,461272298.9
5/30/2020,9427.07,9740,9331.23,9697.72,55665.27,530598690.1
5/29/2020,9575.89,9605.26,9330,9427.07,57374.36,542758086.6
5/28/2020,9204.07,9625.47,9110,9575.89,74110.79,693930106.2
5/27/2020,8841.18,9225,8811.73,9204.07,68910.36,624660855.8
5/26/2020,8900.35,9017.67,8700,8841.18,58299.77,516455128.9
5/25/2020,8720.34,8979.66,8642.72,8900.35,62833.91,553545285.9
5/24/2020,9179.15,9298,8700,8720.34,70379.87,636787240.4
5/23/2020,9170,9307.85,9070,9179.15,43526.3,400407195.6
5/22/2020,9068.65,9271,8933.52,9170,58943.13,537847834.5
5/21/2020,9511.43,9578.47,8815,9068.65,108928.78,1002046266
5/20/2020,9775.53,9842,9326,9511.43,74923.74,721190802.8
5/19/2020,9733.93,9897.21,9474,9775.53,78539.76,760713946
5/18/2020,9680.04,9950,9464.23,9733.93,82006.6,797622297.3
5/17/2020,9381.27,9888,9322.1,9680.04,68647.76,663088800.8
5/16/2020,9316.42,9588,9220,9381.27,59587.63,560547005
5/15/2020,9791.98,9845.62,9150,9316.42,115890.76,1099721376
5/14/2020,9309.37,9939,9256.76,9791.98,129565.38,1247456798
5/13/2020,8810.79,9398,8792.99,9309.37,92466.27,839725720
5/12/2020,8561.52,8978.26,8528.78,8810.79,86522.78,760195457.1
5/11/2020,8722.77,9168,8200,8561.52,168807.25,1468392821
5/10/2020,9539.4,9574.83,8117,8722.77,183865.18,1594996477
5/9/2020,9800.01,9914.25,9520,9539.4,81950.68,795001351.7
5/8/2020,9986.4,10035.96,9705,9800.01,100683.8,997005843.7
5/7/2020,9142.92,10067,9021,9986.4,147154.61,1409783462
5/6/2020,9021.83,9395,8906.21,9142.92,105925.3,972793508.5
5/5/2020,8871.96,9118.58,8760,9021.83,76480.77,683083018.9
5/4/2020,8894.16,8950,8522,8871.96,84418.51,738343818.7
5/3/2020,8972.05,9200,8712,8894.16,90126.07,808427095.9
5/2/2020,8826.96,9010,8753,8972.05,59002.09,523838859.5
5/1/2020,8620,9059.18,8613.56,8826.96,91468.82,805640126.6
4/30/2020,8778.57,9460,8401,8620,206277.21,1839283907
4/29/2020,7738.98,8952.89,7710.05,8778.57,183546.89,1536390177
4/28/2020,7774.62,7780,7659.12,7738.98,46302.75,357391780.9
4/27/2020,7693.1,7792.02,7606,7774.62,65441.34,504025811.7
4/26/2020,7538.67,7700,7480,7693.1,50522.62,384202783.3
4/25/2020,7505,7705,7431.07,7538.67,43874.43,331292050.8
4/24/2020,7482.39,7615.96,7388,7505,60182.12,452118137.8
4/23/2020,7125.14,7738,7020,7482.39,102773.57,756320213.6
4/22/2020,6841.37,7156.38,6818,7125.14,61486.38,431271646.2
4/21/2020,6826.83,6940,6762,6841.37,60109.71,411800606.1
4/20/2020,7120.74,7220,6751,6826.83,90149.49,629612368.8
4/19/2020,7248.6,7266.15,7055.6,7120.74,45664.86,326485586.9
4/18/2020,7027.55,7293.08,7014.4,7248.6,49488.54,354845083.8
4/17/2020,7101.94,7148.12,6972.98,7027.55,54126.51,382334236.2
4/16/2020,6621.24,7190,6468.27,7101.94,125009.86,865277543.4
4/15/2020,6868.7,6933,6605,6621.24,61571.38,416947490.6
4/14/2020,6837.91,6978,6754.28,6868.7,69068.62,474794776.2
4/13/2020,6903.79,6903.79,6575,6837.91,96415.48,649390681.3
4/12/2020,6876.83,7177,6780,6903.79,73868.67,516235035.2
4/11/2020,6858.92,6944.3,6760,6876.83,45470.29,311699573.5
4/10/2020,7283.54,7295.75,6739.98,6858.92,104674.62,727281590.8
